feature_set,n_features,model,accuracy,precision_macro,recall_macro,specificity_macro,f1_macro
all_features,713,SVM Linear,0.9984662576687117,0.9975490196078431,0.998730964467005,0.9995462794918331,0.9981323405908823
all_features,713,Random Forest,0.9938650306748467,0.9922793191350614,0.9936913446216928,0.9980339434647655,0.9929736773152468
top100_features,100,SVM Linear,0.9938650306748467,0.9914363953198905,0.9937176458762628,0.9980893879260485,0.9925470188075229
top100_features,100,SVM RBF,0.9923312883435583,0.9882075471698113,0.9933710628369644,0.9977313974591652,0.9906184338935253
all_features,713,Logistic Regression,0.99079754601227,0.9868065783014237,0.9908958153122119,0.9971819469097146,0.9887426994562732
all_features,713,SVM RBF,0.99079754601227,0.9868131868131869,0.9908695140576421,0.9971819469097146,0.9887392593450509
top100_features,100,Logistic Regression,0.99079754601227,0.9868065783014237,0.9908958153122119,0.9971867351497969,0.988729533006421
top100_features,100,KNN,0.9861963190184049,0.9827620368535763,0.9849337429732032,0.995533595261363,0.9838215369423272
top100_features,100,Random Forest,0.9861963190184049,0.9817307692307693,0.9849337429732032,0.9956293253026466,0.9832729987782253
top50_features,50,SVM RBF,0.9831288343558282,0.9771514495172308,0.9833181244009099,0.994762169866313,0.9799945618537046
all_features,713,KNN,0.9800613496932515,0.9796122981134074,0.9771088148505077,0.9931894068010764,0.9783053498600665
top50_features,50,SVM Linear,0.9815950920245399,0.973909435751541,0.9832289996051027,0.9944596238607128,0.9779542035826913
all_features,713,SVM Polynomial,0.9754601226993865,0.9754171862072181,0.9779161461819945,0.991631996953926,0.9763098429983095
top30_features,30,SVM RBF,0.9785276073619632,0.9730784489284882,0.9785622640536586,0.9931186064580437,0.9756381743052475
top50_features,50,Logistic Regression,0.9785276073619632,0.9708641791530211,0.9782785045555977,0.9933702992419764,0.9741498900704548
top50_features,50,Random Forest,0.9769938650306749,0.9725,0.9712621685618761,0.9924283520472268,0.9718548022638696
all_features,713,Decision Tree,0.9693251533742331,0.964378268005038,0.9682518673741132,0.9899012888230354,0.9661207752655792
top30_features,30,SVM Linear,0.9708588957055214,0.9648691364358314,0.9659022669318353,0.990471871992157,0.9653785860698572
top100_features,100,Decision Tree,0.9662576687116564,0.9572006615866264,0.9656611937989836,0.9893376678901413,0.9609205505181146
top30_features,30,Logistic Regression,0.9662576687116564,0.9582177453094326,0.9620688590782808,0.9891154987077384,0.9600329396896454
top50_features,50,KNN,0.9662576687116564,0.9642857142857143,0.952755525151421,0.9884864681597894,0.957741853054353
top30_features,30,Random Forest,0.9631901840490797,0.9547322582712461,0.9561959115350792,0.988047306708673,0.9554409863091698
top50_features,50,Decision Tree,0.9585889570552147,0.9509377444031675,0.9554399219152452,0.9864639760017693,0.9530306068139797
top100_features,100,SVM Polynomial,0.9601226993865031,0.9547275641025641,0.9484966304948586,0.9866715861271216,0.9512514926177739
top30_features,30,KNN,0.9570552147239264,0.9537450396825397,0.9411863139709782,0.985390801425818,0.94650635228998
top30_features,30,Decision Tree,0.9493865030674846,0.9399714983970261,0.9468243524598695,0.983545404630118,0.9430284526915531
all_features,713,Gaussian Naive Bayes,0.9386503067484663,0.933290488088755,0.9254637180404195,0.979285621518994,0.9287780591097617
top50_features,50,SVM Polynomial,0.9263803680981595,0.9276980356357734,0.8987608278990549,0.9744975204780906,0.9083285957562739
top30_features,30,SVM Polynomial,0.9187116564417178,0.9256824571990219,0.8901554794757769,0.9716038814683535,0.9009274749020398
top100_features,100,Gaussian Naive Bayes,0.8941717791411042,0.8768817581332495,0.880743961854424,0.9656770118551925,0.8781170466276298
top50_features,50,Gaussian Naive Bayes,0.8757668711656442,0.8544445446769271,0.8554583035177102,0.9594617371868379,0.8546224760804921
top30_features,30,Gaussian Naive Bayes,0.8680981595092024,0.8501908249035169,0.8517041043160323,0.9566187543983016,0.850414995543672
